"bill_id","session_id","bill_number","status","status_desc","status_date","title","description","committee_id","committee","last_action_date","last_action","url","state_link"
1832426,2002,"SB2497",4,"Passed","4/9/2024","AN ACT to amend Tennessee Code Annotated, Title 4; Title 5; Title 6; Title 7; Title 54 and Title 65, relative to utilities.","As introduced, requires the commission to make the annual report the commission submits to the general assembly and governor regarding all matters relating to its office for the preceding year available on its website in a publicly accessible location. - Amends TCA Title 4; Title 5; Title 6; Title 7; Title 54 and Title 65.",0,"","4/9/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2497/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2497&ga=113"
1832430,2002,"SB2498",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 4 and Title 62, Chapter 2, Part 4, relative to certificates of registration for engineers.","As introduced, authorizes graduates of unaccredited engineering technology curriculums to apply for and become registered as engineers, provided that such persons have prior engineering experience and meet certain examination requirements. - Amends TCA Title 4 and Title 62, Chapter 2, Part 4.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2498/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2498&ga=113"
1832433,2002,"SB2445",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 4; Title 36; Title 37 and Title 68, relative to child fatality review teams.","As introduced, adds three persons to the state child fatality review team who are each state residents with a child under 18 years of age; requires the state child fatality review team to distribute the team's annual report to each local education agency and to the board of the Tennessee Chapter of the American Academy of Pediatrics. - Amends TCA Title 4; Title 36; Title 37 and Title 68.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2445/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2445&ga=113"
1832507,2002,"SB2478",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 39; Title 43; Title 44 and Title 63, Chapter 12, relative to animals.","As introduced, prohibits the department of agriculture or any other state or local department or agency from entering private property without probable cause to believe that a criminal offense has occurred or is occurring, the consent of the property owner, a warrant, or a recognized warrant exception; requires a member of a society incorporated for the prevention of cruelty to animals to notify the appropriate local law enforcement agency of the member's intent to make an arrest or interfere to prevent an act of cruelty and the circumstances justifying the action before doing so. - Amends TCA Title 39; Title 43; Title 44 and Title 63, Chapter 12.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2478/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2478&ga=113"
1832513,2002,"SB2486",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 3, Part 5; Section 7-53-316 and Title 66, Chapter 9, Part 2, relative to solar power facilities.","As introduced, requires the grantee under a solar power facility agreement to file a copy of the agreement with the office of energy programs in the department of environment and conservation; directs the office of energy programs to expand and maintain its existing website with additional guidance and resources regarding solar energy for various persons. - Amends TCA Title 4, Chapter 3, Part 5; Section 7-53-316 and Title 66, Chapter 9, Part 2.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2486/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2486&ga=113"
1832533,2002,"SB2398",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 63 and Title 68, Chapter 3, relative to vital records.","As enacted, increases from 48 hours to two business days the time by which a physician in charge of a patient who dies or a medical examiner must determine the cause of death and complete and sign a medical certification of death. - Amends TCA Title 63 and Title 68, Chapter 3.",0,"","4/8/2024","Effective date(s) 04/04/2024","https://legiscan.com/TN/bill/SB2398/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2398&ga=113"
1833107,2002,"SB2514",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 8; Title 16; Title 38 and Chapter 237 of the Public Acts of 2023, relative to crimes against children.","As enacted, adds the short title ""The Gabby Act"" to Chapter 237 of the Public Acts of 2023, which requires district attorneys general to designate one assistant district attorney general as the lead prosecutor in cases involving crimes committed against children and requires the Tennessee bureau of investigation to provide annual training to assistant district attorneys designated as lead prosecutors in crimes committed against children. - Amends TCA Title 8; Title 16; Title 38 and Chapter 237 of the Public Acts of 2023.",0,"","4/8/2024","Effective date(s) 04/04/2024","https://legiscan.com/TN/bill/SB2514/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2514&ga=113"
1833247,2002,"HB2643",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 8; Title 16; Title 38 and Chapter 237 of the Public Acts of 2023, relative to crimes against children.","As enacted, adds the short title ""The Gabby Act"" to Chapter 237 of the Public Acts of 2023, which requires district attorneys general to designate one assistant district attorney general as the lead prosecutor in cases involving crimes committed against children and requires the Tennessee bureau of investigation to provide annual training to assistant district attorneys designated as lead prosecutors in crimes committed against children. - Amends TCA Title 8; Title 16; Title 38 and Chapter 237 of the Public Acts of 2023.",0,"","4/8/2024","Comp. became Pub. Ch. 649","https://legiscan.com/TN/bill/HB2643/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB2643&ga=113"
1833324,2002,"HB2612",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 66, Chapter 27, relative to gated communities.","As enacted, authorizes a member of a homeowners' association for a neighborhood in Williamson County with at least 300 single family residential homes and two or more gates restricting ingress and egress to the neighborhood to request a report from the board of directors for the homeowners' association regarding criminal activity in the gated subdivision; requires the board to compile the report and make it available to each household in the subdivision. - Amends TCA Title 66, Chapter 27.",0,"","4/8/2024","Comp. became Pub. Ch. 645","https://legiscan.com/TN/bill/HB2612/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB2612&ga=113"
1833354,2002,"HB2666",4,"Passed","3/26/2024","AN ACT to amend Tennessee Code Annotated, Title 63 and Title 68, relative to professional counselors.","As enacted, establishes qualifications for a person to receive a professional counselor license through a reciprocal agreement that this state has entered into on or before January 1, 2024. - Amends TCA Title 63 and Title 68.",0,"","3/26/2024","Effective date(s) 03/15/2024","https://legiscan.com/TN/bill/HB2666/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB2666&ga=113"
1833378,2002,"SB2569",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 37 and Title 39, relative to acts committed by juveniles.","As enacted, allows a juvenile court to transfer a child, who is 15 or older, to be tried as an adult in criminal court for the offense of organized retail crime, theft of a firearm, or an attempt to commit such offense; revises law with regard to confinement of a child in a local juvenile detention facility, a juvenile detention facility. or an adult detention facility. - Amends TCA Title 37 and Title 39.",0,"","4/8/2024","Comp. became Pub. Ch. 635","https://legiscan.com/TN/bill/SB2569/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2569&ga=113"
