"","Post","Date","Url","Author","Full.Text"
"1737","NPR review","2024-04-24 21:29:45.0","http://twitter.com/happilylauren/statuses/1783246977888927799","happilylauren","@taylorswift13 YESSSSS HONEYYYY"
"1738","NPR review","2024-04-24 21:28:33.0","http://twitter.com/OtakuXKun/statuses/1783246674879496211","OtakuXKun","@taylorswift13 @annkpowers @nprmusic I think an idea for the new song: ""We had a fantastic night, as fast on the grid as swift come"" 🎶 ""You drove my dress,like you drove that summer in Valencia . 🎶 ""I changed your soft rubber for the hard one, and you finished rained on my Monaco curves""🎶"
"1739","NPR review","2024-04-24 21:22:03.0","http://twitter.com/bbejeweledd/statuses/1783245042020171814","bbejeweledd","@taylorswift13 @annkpowers @nprmusic the good kind i love you"
"1740","NPR review","2024-04-24 21:19:32.0","http://twitter.com/lrmidrain/statuses/1783244407963103650","lrmidrain","@taylorswift13 @annkpowers @nprmusic MOMMMM"
"1741","NPR review","2024-04-24 21:19:13.0","http://twitter.com/Umu53815264/statuses/1783244326320886186","Umu53815264","Don’t we all love a “IDGAF” Queen?❤️"
"1742","NPR review","2024-04-24 21:14:29.0","http://twitter.com/painTStheEras/statuses/1783243136447176750","painTStheEras","@taylorswift13 @annkpowers @nprmusic Love you forever, Chairman 🤍 https://t.co/TUOwry1emC"
"1743","NPR review","2024-04-24 21:12:24.0","http://twitter.com/illicitayfairs/statuses/1783242614348890382","illicitayfairs","“The good kind” I’m glad😭😭"
"1744","NPR review","2024-04-24 21:09:48.0","http://twitter.com/1000000II/statuses/1783241957705122048","1000000II","@taylorswift13 @annkpowers @nprmusic she ran out of lyrics"
"1745","NPR review","2024-04-24 21:08:16.0","http://twitter.com/dorotheasbabe/statuses/1783241572126966248","dorotheasbabe","she ran out of happy lyrics :/"
"1746","NPR review","2024-04-24 21:08:13.0","http://twitter.com/marisaswiftie/statuses/1783241561343406367","marisaswiftie","@taylorswift13 @annkpowers @nprmusic LOVE YOU SO MUCH"
"1747","NPR review","2024-04-24 21:07:37.0","http://twitter.com/streammatilda/statuses/1783241410042376667","streammatilda","oh hi again"
"1748","NPR review","2024-04-24 21:07:09.0","http://twitter.com/uSerrrr099999/statuses/1783241290118729935","uSerrrr099999","@taylorswift13 @annkpowers @nprmusic MOOD ATREVIDO IS HERE"
"1749","NPR review","2024-04-24 21:06:26.0","http://twitter.com/tm1515152005/statuses/1783241111428907149","tm1515152005","@taylorswift13 @annkpowers @nprmusic That’s great . People seem to really like the new album"
